,movie,year,length,imdb,metascore,vote,gross
0,The Whale,2022,117,7.8,60,69624,
1,Everything Everywhere All at Once,2022,139,8.0,81,347401,
2,The Banshees of Inisherin,2022,114,7.8,87,155707,
3,Avatar: The Way of Water,2022,192,7.8,67,310938,
4,The Fabelmans,2022,151,7.6,84,67471,
5,Puss in Boots: The Last Wish,2022,102,7.9,73,91373,
6,All Quiet on the Western Front,2022,148,7.8,76,158879,
7,Aftersun,2022,102,7.7,95,45077,
8,Top Gun: Maverick,2022,130,8.3,78,540653,718.73
9,The Godfather,1972,175,9.2,100,1882233,134.97
10,Titanic,1997,194,7.9,75,1201845,
11,The Batman,2022,176,7.8,72,678947,
12,The Shawshank Redemption,1994,142,9.3,81,2710310,28.34
13,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65,797422,
14,Once Upon a Time in Hollywood,2019,161,7.6,83,760448,
15,Interstellar,2014,169,8.6,74,1869178,188.02
16,The Gentlemen,2019,113,7.8,51,350885,
17,RRR,2022,187,7.9,83,138484,
18,Dune,2021,155,8.0,74,653973,
19,Pulp Fiction,1994,154,8.9,94,2080887,107.93
20,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1894868,315.54
21,Avengers: Endgame,2019,181,8.4,78,1154641,858.37
22,Heat,1995,170,8.3,76,664510,67.44
23,Saving Private Ryan,1998,169,8.6,91,1406465,216.54
24,Rocky,1976,120,8.1,70,587529,117.24
25,Spider-Man: No Way Home,2021,148,8.2,71,775705,804.75
26,Avatar,2009,162,7.9,83,1327849,
27,Knives Out,2019,130,7.9,82,711835,
28,The Wolf of Wall Street,2013,180,8.2,75,1437021,116.9
29,The Dark Knight,2008,152,9.0,84,2683288,534.86
30,Guillermo del Toro's Pinocchio,2022,117,7.6,79,85810,
31,Catch Me If You Can,2002,141,8.1,75,1002460,164.62
32,Inception,2010,148,8.8,74,2381208,292.58
33,Whiplash,2014,106,8.5,89,883469,13.09
34,American Psycho,2000,102,7.6,64,640162,
35,Fight Club,1999,139,8.8,66,2154307,37.03
36,Parasite,2019,132,8.5,96,828060,53.37
37,Goodfellas,1990,145,8.7,91,1175569,46.84
38,Inglourious Basterds,2009,153,8.3,69,1469982,120.54
39,Good Will Hunting,1997,126,8.3,70,987071,138.43
40,Blade Runner 2049,2017,164,8.0,81,589295,
41,Forrest Gump,1994,142,8.8,82,2105954,330.25
42,The Departed,2006,151,8.5,85,1339544,132.38
43,Prisoners,2013,153,8.1,70,731614,61.0
44,Black Swan,2010,108,8.0,79,779026,
45,Joker,2019,122,8.4,59,1319332,335.45
46,The Goonies,1985,114,7.7,62,280118,
47,The Godfather Part II,1974,202,9.0,90,1285015,57.3
48,Harry Potter and the Goblet of Fire,2005,157,7.7,81,638720,
49,The Silence of the Lambs,1991,118,8.6,85,1448973,130.74
